date,fund,company,ticker,cusip,shares,market value ($),weight (%)
05/10/2023,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"1,654,304","$99,605,643.84",8.39%
05/10/2023,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"1,466,615","$93,702,032.35",7.89%
05/10/2023,ARKW,BLOCK INC,SQ,852234103,"1,440,403","$85,444,705.96",7.20%
05/10/2023,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,"5,376,919","$84,202,551.54",7.09%
05/10/2023,ARKW,ROKU INC,ROKU,77543R102,"1,514,764","$83,948,220.88",7.07%
05/10/2023,ARKW,TESLA INC,TSLA,88160R101,"483,597","$81,800,432.55",6.89%
05/10/2023,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,"1,149,281","$73,048,300.36",6.15%
05/10/2023,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"2,438,920","$59,460,869.60",5.01%
05/10/2023,ARKW,UNITY SOFTWARE INC,U,91332U101,"1,882,277","$53,230,793.56",4.48%
05/10/2023,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"1,459,257","$52,810,510.83",4.45%
05/10/2023,ARKW,UIPATH INC - CLASS A,PATH,90364P105,"3,617,721","$50,105,435.85",4.22%
05/10/2023,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"5,128,018","$46,716,243.98",3.93%
05/10/2023,ARKW,TELADOC HEALTH INC,TDOC,87918A105,"1,784,043","$44,725,958.01",3.77%
05/10/2023,ARKW,TWILIO INC - A,TWLO,90138F102,"765,137","$42,847,672.00",3.61%
05/10/2023,ARKW,PAGERDUTY INC,PD,69553P100,"1,250,753","$36,396,912.30",3.07%
05/10/2023,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"5,043,364","$23,451,642.60",1.98%
05/10/2023,ARKW,MERCADOLIBRE INC,MELI,58733R102,"17,461","$21,792,201.05",1.84%
05/10/2023,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"210,487","$20,008,894.22",1.69%
05/10/2023,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"414,624","$19,549,521.60",1.65%
05/10/2023,ARKW,NVIDIA CORP,NVDA,67066G104,"65,024","$18,578,007.04",1.56%
05/10/2023,ARKW,VERACYTE INC,VCYT,92337F107,"751,866","$17,270,362.02",1.45%
05/10/2023,ARKW,VUZIX CORP,VUZI,92921W300,"3,564,000","$16,073,640.00",1.35%
05/10/2023,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"98,244","$12,765,825.36",1.08%
05/10/2023,ARKW,NEXTDOOR HOLDINGS INC,KIND,65345M108,"6,152,740","$12,613,117.00",1.06%
05/10/2023,ARKW,MICROSOFT CORP,MSFT,594918104,"40,447","$12,417,229.00",1.05%
05/10/2023,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,"756,121","$11,704,753.08",0.99%
05/10/2023,ARKW,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,417,758","$8,251,351.56",0.70%
05/10/2023,ARKW,2U INC,TWOU,90214J101,"1,066,524","$3,818,155.92",0.32%
05/10/2023,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"883,742","$883,741.82",0.07%
