date,fund,company,ticker,cusip,shares,market value ($),weight (%)
08/08/2024,IZRL,RADWARE LTD,RDWR,M81873107,"113,495","$2,446,952.20",2.69%
08/08/2024,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,"11,799","$2,099,986.02",2.31%
08/08/2024,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,"123,865","$2,079,693.35",2.29%
08/08/2024,IZRL,SIMILARWEB LTD,SMWB,M84137104,"276,097","$2,054,161.68",2.26%
08/08/2024,IZRL,CELLEBRITE DI LTD,CLBT,M2197Q107,"160,625","$2,044,756.25",2.25%
08/08/2024,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,"79,690","$2,036,876.40",2.24%
08/08/2024,IZRL,WALKME LTD,WKME,M97628107,"145,813","$2,020,968.18",2.22%
08/08/2024,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,"10,899","$2,007,665.23",2.21%
08/08/2024,IZRL,AUDIOCODES LTD,AUDC,M15342104,"188,538","$1,975,878.24",2.17%
08/08/2024,IZRL,WIX.COM LTD,WIX,M98068105,"12,519","$1,957,345.65",2.15%
08/08/2024,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,"434,963","$1,957,333.50",2.15%
08/08/2024,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,"510,363","$1,957,354.28",2.15%
08/08/2024,IZRL,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,"86,822","$1,949,153.90",2.14%
08/08/2024,IZRL,COGNYTE SOFTWARE LTD,CGNT,M25133105,"270,315","$1,940,861.70",2.14%
08/08/2024,IZRL,PERION NETWORK LTD,PERI,M78673114,"238,544","$1,939,362.72",2.13%
08/08/2024,IZRL,PAGAYA TECHNOLOGIES LTD -A,PGY,BQ5J6B6,"139,850","$1,928,531.50",2.12%
08/08/2024,IZRL,MATRIX IT LTD,MTRX,6747754,"100,547","$1,905,073.19",2.10%
08/08/2024,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,"7,818","$1,903,448.46",2.09%
08/08/2024,IZRL,HILAN LTD,HLAN,6267230,"36,255","$1,888,619.24",2.08%
08/08/2024,IZRL,NAYAX LTD,NYAX,BMXT7N9,"86,869","$1,876,178.32",2.06%
08/08/2024,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,6253433,"23,498","$1,867,964.20",2.06%
08/08/2024,IZRL,NICE LTD - SPON ADR,NICE,653656108,"11,308","$1,860,279.08",2.05%
08/08/2024,IZRL,COMPUGEN LTD,CGEN,6432403,"1,092,183","$1,859,212.28",2.05%
08/08/2024,IZRL,TABOOLA.COM LTD,TBLA,M8744T106,"594,590","$1,867,012.60",2.05%
08/08/2024,IZRL,TELSYS LTD,TLSY,6878977,"38,459","$1,853,604.34",2.04%
08/08/2024,IZRL,INMODE LTD,INMD,M5425M103,"112,192","$1,856,777.60",2.04%
08/08/2024,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,"50,181","$1,857,198.81",2.04%
08/08/2024,IZRL,MONDAY.COM LTD,MNDY,M7S64H106,"8,921","$1,850,393.82",2.04%
08/08/2024,IZRL,RISKIFIED LTD-A,RSKD,M8216R109,"323,018","$1,857,353.50",2.04%
08/08/2024,IZRL,JFROG LTD,FROG,M6191J100,"54,263","$1,847,655.15",2.03%
08/08/2024,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,"17,249","$1,833,869.73",2.02%
08/08/2024,IZRL,QUALITAU LTD,,6221689,"50,954","$1,837,509.34",2.02%
08/08/2024,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,"149,486","$1,840,342.25",2.02%
08/08/2024,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,"1,651,341","$1,829,993.58",2.01%
08/08/2024,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,"52,381","$1,823,906.42",2.01%
08/08/2024,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,"182,389","$1,822,929.81",2.01%
08/08/2024,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,"437,411","$1,789,251.63",1.97%
08/08/2024,IZRL,NOVA LTD,NVMI,M7516K103,"9,791","$1,771,779.36",1.95%
08/08/2024,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,"121,634","$1,760,043.98",1.94%
08/08/2024,IZRL,BET SHEMESH ENGINES HOLDINGS,BSEN,6103936,"32,712","$1,766,912.98",1.94%
08/08/2024,IZRL,PLAYTIKA HOLDING CORP,PLTK,72815L107,"254,671","$1,752,136.48",1.93%
08/08/2024,IZRL,NANO-X IMAGING LTD,NNOX,M70700105,"252,633","$1,697,693.76",1.87%
08/08/2024,IZRL,ISROTEL LTD,,6468226,"88,511","$1,699,392.56",1.87%
08/08/2024,IZRL,MEDIWOUND LTD,MDWD UQ,M68830112,"99,994","$1,634,901.90",1.80%
08/08/2024,IZRL,STRATASYS LTD,SSYS,M85548101,"223,334","$1,612,471.48",1.77%
08/08/2024,IZRL,VALENS SEMICONDUCTOR LTD,VLN,M9607U115,"619,309","$1,610,203.40",1.77%
08/08/2024,IZRL,CAMTEK LTD,CAMT,M20791105,"18,170","$1,552,989.90",1.71%
08/08/2024,IZRL,ALARUM TECHNOLOGIES LTD-ADR,ALAR,78643B500,"73,749","$1,484,567.37",1.63%
08/08/2024,IZRL,MOBILEYE GLOBAL INC-A,MBLY,60741F104,"74,878","$1,123,170.00",1.24%
08/08/2024,IZRL,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"97,709","$97,709.24",0.11%
