date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/30/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"633,505","$76,818,816.30",9.35%
04/30/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,096,992","$52,500,291.71",6.39%
04/30/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"498,012","$47,590,026.72",5.79%
04/30/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"257,140","$46,730,052.20",5.69%
04/30/2026,ARKF,BLOCK INC,XYZ,852234103,"623,690","$43,321,507.40",5.27%
04/30/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"507,712","$36,149,094.40",4.40%
04/30/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,"102,416","$34,525,457.76",4.20%
04/30/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"250,047","$34,498,984.59",4.20%
04/30/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,195,698","$34,220,876.76",4.16%
04/30/2026,ARKF,AMAZON.COM INC,AMZN,023135106,"120,737","$31,758,660.48",3.87%
04/30/2026,ARKF,BULLISH,BLSH,G16910120,"780,550","$28,497,880.50",3.47%
04/30/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"14,724","$26,017,602.48",3.17%
04/30/2026,ARKF,ROKU INC,ROKU,77543R102,"203,569","$22,925,940.78",2.79%
04/30/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"406,066","$22,853,394.48",2.78%
04/30/2026,ARKF,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"31,991","$21,999,791.62",2.68%
04/30/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"31,986","$21,402,472.32",2.60%
04/30/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,291,857","$20,056,079.93",2.44%
04/30/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"16,214","$18,121,150.78",2.21%
04/30/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"834,306","$17,236,761.96",2.10%
04/30/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,170,765","$16,437,540.60",2.00%
04/30/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"75,494","$15,797,119.50",1.92%
04/30/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"634,367","$14,679,252.38",1.79%
04/30/2026,ARKF,SEA LTD-ADR,SE,81141R100,"173,064","$14,400,655.44",1.75%
04/30/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"89,825","$13,760,291.75",1.67%
04/30/2026,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"93,484","$13,113,935.52",1.60%
04/30/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"28,294","$12,550,369.58",1.53%
04/30/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"24,205","$10,949,857.90",1.33%
04/30/2026,ARKF,DOORDASH INC - A,DASH,25809K105,"64,123","$10,857,947.59",1.32%
04/30/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"778,161","$10,474,047.06",1.27%
04/30/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,"281,547","$10,065,305.25",1.22%
04/30/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"74,337","$9,695,774.91",1.18%
04/30/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"166,685","$7,235,795.85",0.88%
04/30/2026,ARKF,PAYPAY CORP,PAYP,70450C101,"267,663","$5,396,086.08",0.66%
04/30/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"62,632","$5,380,088.80",0.65%
04/30/2026,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"565,048","$4,938,519.52",0.60%
04/30/2026,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"401,283","$2,652,480.63",0.32%
04/30/2026,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,820,344","$1,820,343.61",0.22%
04/30/2026,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"11,530","$1,800,870.70",0.22%
04/30/2026,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,"443,051","$1,382,319.12",0.17%
04/30/2026,ARKF,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"958,637","$695,970.46",0.08%
04/30/2026,ARKF,BRERA HOLDINGS PLC WTS,,BREADUMMY,"788,053","$354,623.85",0.04%
