date,fund,company,ticker,cusip,shares,market value ($),weight (%)
02/27/2025,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"12,558,408","$104,737,122.72",8.48%
02/27/2025,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,349,002","$97,084,252.66",7.86%
02/27/2025,ARKG,TEMPUS AI INC,TEM,88023B103,"1,537,480","$95,723,504.80",7.75%
02/27/2025,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,104,288","$93,430,387.20",7.56%
02/27/2025,ARKG,NATERA INC,NTRA,632307104,"417,469","$67,028,822.64",5.43%
02/27/2025,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"7,931,555","$66,307,799.80",5.37%
02/27/2025,ARKG,GUARDANT HEALTH INC,GH,40131M109,"1,445,456","$62,429,244.64",5.05%
02/27/2025,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"1,948,104","$54,332,620.56",4.40%
02/27/2025,ARKG,CAREDX INC,CDNA,14167L103,"2,490,366","$52,546,722.60",4.25%
02/27/2025,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,349,695","$50,988,381.50",4.13%
02/27/2025,ARKG,VERACYTE INC,VCYT,92337F107,"1,321,193","$46,941,987.29",3.80%
02/27/2025,ARKG,ABSCI CORP,ABSI,00091E109,"9,642,119","$40,689,742.18",3.29%
02/27/2025,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,192,555","$37,193,265.75",3.01%
02/27/2025,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"3,208,169","$34,648,225.20",2.81%
02/27/2025,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"1,090,441","$34,632,406.16",2.80%
02/27/2025,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,058,044","$34,122,369.52",2.76%
02/27/2025,ARKG,PERSONALIS INC,PSNL,71535D106,"7,206,387","$32,284,613.76",2.61%
02/27/2025,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"7,189,323","$28,541,612.31",2.31%
02/27/2025,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,627,484","$27,764,877.04",2.25%
02/27/2025,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"13,621,957","$22,203,789.91",1.80%
02/27/2025,ARKG,AMGEN INC,AMGN,031162100,"70,611","$21,633,798.18",1.75%
02/27/2025,ARKG,ILLUMINA INC,ILMN,452327109,"220,715","$20,758,245.75",1.68%
02/27/2025,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,"70,024","$15,911,553.52",1.29%
02/27/2025,ARKG,QUANTUM-SI INC,QSI,74765K105,"8,923,097","$13,295,414.53",1.08%
02/27/2025,ARKG,CERUS CORP,CERS,157085101,"7,796,315","$12,785,956.60",1.04%
02/27/2025,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,"26,932","$12,903,121.20",1.04%
02/27/2025,ARKG,INCYTE CORP,INCY,45337C102,"171,944","$12,775,439.20",1.03%
02/27/2025,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,"13,996","$9,894,332.24",0.80%
02/27/2025,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"1,848,367","$6,838,957.90",0.55%
02/27/2025,ARKG,908 DEVICES INC,MASS,65443P102,"2,968,458","$6,827,453.40",0.55%
02/27/2025,ARKG,PRIME MEDICINE INC,PRME,74168J101,"2,601,667","$6,608,234.18",0.54%
02/27/2025,ARKG,STANDARD BIOTOOLS INC,LAB,34385P108,"3,535,819","$4,136,908.23",0.33%
02/27/2025,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,"84,125","$4,080,062.50",0.33%
02/27/2025,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,"2,129,158","$2,661,447.50",0.22%
02/27/2025,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"282,674","$282,673.64",0.02%
02/27/2025,ARKG,ACCOLADE INC,ACCD,00437E102,"2,900","$20,184.00",0.00%
