date,fund,company,ticker,cusip,shares,market value ($),weight (%)
01/05/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"1,906,282","$102,500,783.14",8.82%
01/05/2026,ARKG,TEMPUS AI INC,TEM,88023B103,"1,613,746","$100,633,200.56",8.66%
01/05/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,133,011","$69,088,226.29",5.94%
01/05/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"661,588","$67,309,963.12",5.79%
01/05/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,615,671","$59,783,017.35",5.14%
01/05/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,167,446","$58,824,484.44",5.06%
01/05/2026,ARKG,ILLUMINA INC,ILMN,452327109,"397,020","$53,339,637.00",4.59%
01/05/2026,ARKG,NATERA INC,NTRA,632307104,"229,339","$52,481,936.76",4.52%
01/05/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,131,865","$52,051,596.30",4.48%
01/05/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"11,601,406","$48,725,905.20",4.19%
01/05/2026,ARKG,VERACYTE INC,VCYT,92337F107,"1,047,587","$44,407,212.93",3.82%
01/05/2026,ARKG,ABSCI CORP,ABSI,00091E109,"11,474,122","$41,421,580.42",3.56%
01/05/2026,ARKG,CAREDX INC,CDNA,14167L103,"2,030,242","$38,858,831.88",3.34%
01/05/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,022,331","$36,361,511.38",3.13%
01/05/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"2,051,685","$32,642,308.35",2.81%
01/05/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"398,319","$31,734,074.73",2.73%
01/05/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,519,834","$27,448,202.04",2.36%
01/05/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,964,720","$27,305,071.20",2.35%
01/05/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"176,915","$23,405,854.50",2.01%
01/05/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"5,946,396","$22,298,985.00",1.92%
01/05/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,660,001","$19,614,401.84",1.69%
01/05/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,759,096","$16,799,608.88",1.45%
01/05/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,495,158","$15,594,737.50",1.34%
01/05/2026,ARKG,AMGEN INC,AMGN,031162100,"43,041","$14,101,953.24",1.21%
01/05/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"2,047,698","$13,412,421.90",1.15%
01/05/2026,ARKG,INCYTE CORP,INCY,45337C102,"129,836","$13,167,967.12",1.13%
01/05/2026,ARKG,CERUS CORP,CERS,157085101,"6,387,471","$12,583,317.87",1.08%
01/05/2026,ARKG,ATAI BECKLEY NV,ATAI UQ,04650F101,"3,149,863","$12,189,969.81",1.05%
01/05/2026,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,"24,770","$11,199,260.10",0.96%
01/05/2026,ARKG,CARIS LIFE SCIENCES INC,CAI,142152107,"388,866","$10,491,604.68",0.90%
01/05/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,886,444","$9,601,999.96",0.83%
01/05/2026,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,"39,124","$8,587,326.76",0.74%
01/05/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,693,787","$7,764,792.92",0.67%
01/05/2026,ARKG,STANDARD BIOTOOLS INC,LAB,34385P108,"2,924,511","$3,714,128.97",0.32%
01/05/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"2,721,009","$2,721,008.84",0.23%
