date,fund,company,ticker,cusip,weight (%)
05/31/2026,ARKVX,SpaceX,,,11.38%
05/31/2026,ARKVX,OpenAI,,,8.48%
05/31/2026,ARKVX,"Anthropic, Inc.",,,6.40%
05/31/2026,ARKVX,Tenstorrent Holdings Inc.,,,4.52%
05/31/2026,ARKVX,Kalshi Inc.,,,3.96%
05/31/2026,ARKVX,"Replit, Inc.",,,3.49%
05/31/2026,ARKVX,Ayar Labs,,,3.17%
05/31/2026,ARKVX,Figure AI Inc.,,,2.99%
05/31/2026,ARKVX,Absci,ABSI,00091E109,2.38%
05/31/2026,ARKVX,Cellares inc.,,,2.34%
05/31/2026,ARKVX,"Databricks, Inc.",,,2.33%
05/31/2026,ARKVX,Zipline International Inc.,,,2.15%
05/31/2026,ARKVX,"Radiant Industries, Inc",,,1.99%
05/31/2026,ARKVX,"Boom Technology, Inc.",,,1.96%
05/31/2026,ARKVX,Neuralink Corp.,,,1.93%
05/31/2026,ARKVX,Beam Therapeutics,BEAM,07373V105,1.83%
05/31/2026,ARKVX,"Hydra Host, inc.",,,1.75%
05/31/2026,ARKVX,CRISPR Therapeutics AG,CRSP,H17182108,1.63%
05/31/2026,ARKVX,"X-energy Reactor Company, LLC",,,1.62%
05/31/2026,ARKVX,Manna Drone Delivery Inc.,,,1.61%
05/31/2026,ARKVX,"10x Genomics, Inc.",TXG,88025U109,1.45%
05/31/2026,ARKVX,"Epic Games, Inc",,,1.43%
05/31/2026,ARKVX,"Iambic Therapeutics, Inc.",,,1.42%
05/31/2026,ARKVX,Tempus AI,TEM,88023B103,1.42%
05/31/2026,ARKVX,Lambda,,,1.41%
05/31/2026,ARKVX,"Alamar Biosciences, Inc.",ALMR,010911105,1.27%
05/31/2026,ARKVX,Shield AI,,,1.21%
05/31/2026,ARKVX,Canton Strategic Holdings,THAR,432705309,1.18%
05/31/2026,ARKVX,"Securitize, Inc.",,,1.17%
05/31/2026,ARKVX,Lucra Inc.,,,1.16%
05/31/2026,ARKVX,"Apptronik, Inc.",,,1.15%
05/31/2026,ARKVX,Crusoe Inc,,,1.15%
05/31/2026,ARKVX,Impulse Labs Inc.,,,1.14%
05/31/2026,ARKVX,Architect Financial Technologies Inc.,,,1.05%
05/31/2026,ARKVX,Prime Medicine,PRME,74168J101,1.03%
05/31/2026,ARKVX,Intellia Therapeutics,NTLA,45826J105,0.94%
05/31/2026,ARKVX,"Kodiak Robotics, Inc.",KDK,500081104,0.81%
05/31/2026,ARKVX,Gatik AI Inc.,,,0.71%
05/31/2026,ARKVX,"Tesla, Inc.",TSLA,88160R101,0.67%
05/31/2026,ARKVX,Discord Inc.,,,0.64%
05/31/2026,ARKVX,"Hammerspace, Inc.",,,0.64%
05/31/2026,ARKVX,"Blockdaemon, inc.",,,0.63%
05/31/2026,ARKVX,Portal Space Systems,,,0.61%
05/31/2026,ARKVX,"Hark Labs, Inc.",,,0.58%
05/31/2026,ARKVX,"Robinhood Markets, Inc.",HOOD,770700102,0.57%
05/31/2026,ARKVX,Twist Biosciences,TWST,90184D100,0.54%
05/31/2026,ARKVX,"Recursion Pharmaceuticals, Inc.",RXRX,75629V104,0.46%
05/31/2026,ARKVX,"Mythical, Inc.",,,0.44%
05/31/2026,ARKVX,"Perplexity AI, Inc.",,,0.41%
05/31/2026,ARKVX,Revolut Group Holdings LTD,,,0.38%
05/31/2026,ARKVX,GeneDx Holdings Corp,WGS,81663L200,0.37%
05/31/2026,ARKVX,"Generate:Biomedicines, Inc.",GENB,370920100,0.37%
05/31/2026,ARKVX,"Lila Sciences, Inc.",,,0.37%
05/31/2026,ARKVX,Relation Therapeutics Inc.,,,0.37%
05/31/2026,ARKVX,Umoja Biopharma,,,0.35%
05/31/2026,ARKVX,"Coinbase Global, Inc.",COIN,19260Q107,0.30%
05/31/2026,ARKVX,Archer Aviation Inc.,ACHR,03945R102,0.29%
05/31/2026,ARKVX,Shopify Inc.,SHOP,82509L107,0.27%
05/31/2026,ARKVX,"Pacific Biosciences of California, Inc.",PACB,69404D108,0.24%
05/31/2026,ARKVX,"Bitmine Immersion Technologies, Inc.",BMNR,09175A206,0.22%
05/31/2026,ARKVX,Roblox Corporation,RBLX,771049103,0.20%
05/31/2026,ARKVX,"Freenome, Inc",,,0.14%
05/31/2026,ARKVX,Chipper Cash,,,0.13%
05/31/2026,ARKVX,"GameFam, Inc.",,,0.12%
05/31/2026,ARKVX,"Groq, Inc.",,,0.12%
05/31/2026,ARKVX,"Atomic Vaults, Inc.",,,0.09%
05/31/2026,ARKVX,"Firmly, Inc.",,,0.09%
