date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/10/2024,PRNT,HP INC,HPQ,40434L105,"147,411","$5,221,297.62",5.14%
07/10/2024,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,"48,614","$4,690,764.86",4.62%
07/10/2024,PRNT,AUTODESK INC,ADSK,052769106,"18,419","$4,493,499.24",4.42%
07/10/2024,PRNT,NIKON CORP,7731,6642321,"410,357","$4,320,082.99",4.25%
07/10/2024,PRNT,SIEMENS AG-REG,SIE,5727973,"22,050","$4,131,349.69",4.07%
07/10/2024,PRNT,PTC INC,PTC,69370C100,"22,547","$4,001,641.56",3.94%
07/10/2024,PRNT,3D SYSTEMS CORP,DDD,88554D205,"1,169,067","$3,998,209.14",3.94%
07/10/2024,PRNT,ANSYS INC,ANSS,03662Q105,"12,212","$3,997,598.20",3.93%
07/10/2024,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,673,577","$3,932,905.95",3.87%
07/10/2024,PRNT,BICO GROUP AB,BICO,BKMFJ94,"988,097","$3,913,811.67",3.85%
07/10/2024,PRNT,PROTO LABS INC,PRLB,743713109,"127,926","$3,872,320.02",3.81%
07/10/2024,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"800,647","$3,859,118.54",3.80%
07/10/2024,PRNT,RENISHAW PLC,RSW,0732358,"81,050","$3,731,870.16",3.67%
07/10/2024,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"27,616","$3,621,946.98",3.56%
07/10/2024,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"98,454","$3,586,901.32",3.53%
07/10/2024,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"213,654","$3,512,471.76",3.46%
07/10/2024,PRNT,STRATASYS LTD,SSYS,M85548101,"408,490","$3,488,504.60",3.43%
07/10/2024,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"130,793","$3,165,190.60",3.12%
07/10/2024,PRNT,XOMETRY INC-A,XMTR,98423F109,"254,889","$3,081,608.01",3.03%
07/10/2024,PRNT,MARKFORGED HOLDING CORP,MKFG,57064N102,"6,023,523","$2,859,366.37",2.81%
07/10/2024,PRNT,DESKTOP METAL INC-A,DM,25058X303,"491,629","$2,482,726.45",2.44%
07/10/2024,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"403,622","$2,174,110.04",2.14%
07/10/2024,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"11,210","$1,905,251.60",1.88%
07/10/2024,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"8,475","$1,915,011.00",1.88%
07/10/2024,PRNT,GENERAL ELECTRIC CO,GE,369604301,"11,193","$1,825,914.09",1.80%
07/10/2024,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"160,659","$1,787,299.02",1.76%
07/10/2024,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"46,236","$1,743,481.15",1.72%
07/10/2024,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"19,099","$1,704,967.73",1.68%
07/10/2024,PRNT,AMETEK INC,AME,031100100,"9,953","$1,633,585.89",1.61%
07/10/2024,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,"12,142","$1,630,427.76",1.60%
07/10/2024,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"5,863","$1,450,975.24",1.43%
07/10/2024,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"7,170","$1,334,552.10",1.31%
07/10/2024,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"251,288","$251,287.67",0.25%
07/10/2024,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,"1,469","$157,491.49",0.16%
07/10/2024,PRNT,EASTMAN KODAK CO,KODK,277461406,"25,212","$141,187.20",0.14%
07/10/2024,PRNT,5N PLUS INC,VNP,B2B3VZ3,"33,940","$143,154.23",0.14%
07/10/2024,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,"1,520","$134,292.17",0.13%
07/10/2024,PRNT,ATI INC,ATI,01741R102,"2,279","$131,110.87",0.13%
07/10/2024,PRNT,3M CO,MMM,88579Y101,"1,277","$127,304.13",0.13%
07/10/2024,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"5,676","$118,003.20",0.12%
07/10/2024,PRNT,HEXCEL CORP,HXL,428291108,"1,901","$121,873.11",0.12%
07/10/2024,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,"1,588","$124,705.64",0.12%
07/10/2024,PRNT,VOESTALPINE AG,VOE,4943402,"4,379","$120,280.08",0.12%
07/10/2024,PRNT,TORAY INDUSTRIES INC,3402,6897143,"25,580","$121,389.62",0.12%
07/10/2024,PRNT,SGL CARBON SE,SGL,4818351,"15,428","$109,278.82",0.11%
07/10/2024,PRNT,KENNAMETAL INC,KMT,489170100,"4,828","$108,823.12",0.11%
07/10/2024,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,"1,218","$115,295.88",0.11%
07/10/2024,PRNT,AVIENT CORP,AVNT,05368V106,"2,744","$114,068.08",0.11%
07/10/2024,PRNT,JABIL INC,JBL,466313103,937,"$103,079.37",0.10%
07/10/2024,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,118","$98,654.53",0.10%
07/10/2024,PRNT,SANDVIK AB,SAND,B1VQ252,"5,318","$105,674.65",0.10%
07/10/2024,PRNT,XEROX HOLDINGS CORP,XRX,98421M106,"7,191","$77,303.25",0.08%
