date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/08/2024,ARKQ,TESLA INC,TSLA,88160R101,"490,590","$123,393,196.80",14.81%
07/08/2024,ARKQ,TERADYNE INC,TER,880770102,"588,426","$88,970,011.20",10.68%
07/08/2024,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"3,476,056","$71,676,274.72",8.60%
07/08/2024,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"1,776,999","$47,197,093.44",5.67%
07/08/2024,ARKQ,TRIMBLE INC,TRMB,896239100,"822,101","$45,947,224.89",5.52%
07/08/2024,ARKQ,AEROVIRONMENT INC,AVAV,008073108,"215,406","$36,382,073.40",4.37%
07/08/2024,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,"2,752,164","$36,438,651.36",4.37%
07/08/2024,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,"1,028,999","$31,765,199.13",3.81%
07/08/2024,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,"6,299,374","$27,717,245.60",3.33%
07/08/2024,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"146,155","$26,891,058.45",3.23%
07/08/2024,ARKQ,DEERE & CO,DE,244199105,"70,576","$25,409,477.28",3.05%
07/08/2024,ARKQ,ROCKET LAB USA INC,RKLB,773122106,"4,649,981","$22,691,907.28",2.72%
07/08/2024,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,"96,558","$18,535,273.68",2.23%
07/08/2024,ARKQ,NVIDIA CORP,NVDA,67066G104,"142,479","$17,928,132.57",2.15%
07/08/2024,ARKQ,ADVANCED MICRO DEVICES,AMD,007903107,"101,365","$17,424,643.50",2.09%
07/08/2024,ARKQ,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"626,885","$17,070,078.55",2.05%
07/08/2024,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,"4,496,329","$15,467,371.76",1.86%
07/08/2024,ARKQ,QUALCOMM INC,QCOM,747525103,"72,380","$14,892,185.00",1.79%
07/08/2024,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,"32,847","$14,576,184.72",1.75%
07/08/2024,ARKQ,SYNOPSYS INC,SNPS,871607107,"23,016","$14,299,840.80",1.72%
07/08/2024,ARKQ,CAMECO CORP,CCJ,13321L108,"230,095","$11,488,643.35",1.38%
07/08/2024,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,"61,004","$11,432,149.60",1.37%
07/08/2024,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,"188,872","$11,351,207.20",1.36%
07/08/2024,ARKQ,JOBY AVIATION INC,JOBY,G65163100,"2,054,827","$10,602,907.32",1.27%
07/08/2024,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,"242,322","$10,242,950.94",1.23%
07/08/2024,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"25,939","$9,894,950.33",1.19%
07/08/2024,ARKQ,ANSYS INC,ANSS,03662Q105,"29,404","$9,740,075.00",1.17%
07/08/2024,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,"18,852","$8,712,640.32",1.05%
07/08/2024,ARKQ,UNITY SOFTWARE INC,U,91332U101,"512,315","$8,048,468.65",0.97%
07/08/2024,ARKQ,CATERPILLAR INC,CAT,149123101,"24,216","$7,951,323.60",0.95%
07/08/2024,ARKQ,3D SYSTEMS CORP,DDD,88554D205,"1,548,836","$4,956,275.20",0.59%
07/08/2024,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,"9,720,065","$4,375,973.26",0.53%
07/08/2024,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,"768,638","$3,681,776.02",0.44%
07/08/2024,ARKQ,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"3,403,145","$3,403,144.70",0.41%
07/08/2024,ARKQ,VUZIX CORP,VUZI,92921W300,"1,918,660","$2,321,578.60",0.28%
07/08/2024,ARKQ,VELO3D INC,VLD,92259N203,"35,996","$113,027.44",0.01%
