date,fund,company,ticker,cusip,shares,market value ($),weight (%)
11/09/2022,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,517,581","$82,576,656.80",11.19%
11/09/2022,ARKF,BLOCK INC,SQ,852234103,"1,222,606","$76,425,101.06",10.36%
11/09/2022,ARKF,MERCADOLIBRE INC,MELI,58733R102,"57,169","$53,571,926.52",7.26%
11/09/2022,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"956,958","$48,642,175.14",6.59%
11/09/2022,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"4,415,527","$43,007,232.98",5.83%
11/09/2022,ARKF,TWILIO INC - A,TWLO,90138F102,"839,065","$37,304,829.90",5.06%
11/09/2022,ARKF,DISCOVERY LTD,DSY,6177878,"5,266,003","$36,692,245.81",4.97%
11/09/2022,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"3,168,421","$35,708,104.67",4.84%
11/09/2022,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"2,543,132","$31,916,306.60",4.33%
11/09/2022,ARKF,ADYEN NV,ADYEN,BZ1HM42,"23,711","$31,412,477.99",4.26%
11/09/2022,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,546,874","$29,390,606.00",3.98%
11/09/2022,ARKF,STONECO LTD-A,STNE,G85158106,"2,585,571","$27,794,888.25",3.77%
11/09/2022,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"787,479","$26,065,554.90",3.53%
11/09/2022,ARKF,TELADOC HEALTH INC,TDOC,87918A105,"855,735","$23,318,778.75",3.16%
11/09/2022,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,"992,417","$20,175,837.61",2.74%
11/09/2022,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,"167,461","$17,457,809.25",2.37%
11/09/2022,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,"419,272","$16,527,702.24",2.24%
11/09/2022,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"3,101,917","$15,850,795.87",2.15%
11/09/2022,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,"197,785","$13,291,152.00",1.80%
11/09/2022,ARKF,INTUIT INC,INTU,461202103,"30,687","$11,739,925.59",1.59%
11/09/2022,ARKF,NVIDIA CORP,NVDA,67066G104,"77,888","$11,373,205.76",1.54%
11/09/2022,ARKF,Z HOLDINGS CORP,4689,6084848,"4,523,514","$10,853,327.33",1.47%
11/09/2022,ARKF,ROKU INC,ROKU,77543R102,"196,723","$10,060,414.22",1.36%
11/09/2022,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"99,297","$9,873,100.71",1.34%
11/09/2022,ARKF,JD.COM INC-ADR,JD,47215P106,"166,146","$7,557,981.54",1.02%
11/09/2022,ARKF,FARFETCH LTD-CLASS A,FTCH,30744W107,"688,278","$5,430,513.42",0.74%
11/09/2022,ARKF,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"1,611,009","$1,611,009.29",0.22%
11/09/2022,ARKF,SEA LTD-ADR,SE,81141R100,"24,361","$1,146,428.66",0.16%
11/09/2022,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"18,600","$728,004.00",0.10%
11/09/2022,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,"607,059","$6,070.59",0.00%
11/09/2022,ARKF,SOUTH AFRICAN RAND,,ZAR,137,$7.72,0.00%
