date,fund,company,ticker,cusip,weight (%)
06/30/2026,ARKVX,"Generate:Biomedicines, Inc.",GENB,370920100,0.60%
06/30/2026,ARKVX,"Robinhood Markets, Inc.",HOOD,770700102,0.59%
06/30/2026,ARKVX,"Recursion Pharmaceuticals, Inc.",RXRX,75629V104,0.58%
06/30/2026,ARKVX,Gatik AI Inc.,,,0.57%
06/30/2026,ARKVX,"Kodiak Robotics, Inc.",KDK,500081104,0.55%
06/30/2026,ARKVX,Portal Space Systems,,,0.47%
06/30/2026,ARKVX,GeneDx Holdings Corp,WGS,81663L200,0.46%
06/30/2026,ARKVX,"Hark Labs, Inc.",,,0.46%
06/30/2026,ARKVX,Discord Inc.,,,0.45%
06/30/2026,ARKVX,"Coinbase Global, Inc.",COIN,19260Q107,0.39%
06/30/2026,ARKVX,"Mythical, Inc.",,,0.34%
06/30/2026,ARKVX,"Perplexity AI, Inc.",,,0.33%
06/30/2026,ARKVX,"Blockdaemon, inc.",,,0.32%
06/30/2026,ARKVX,Revolut Group Holdings LTD,,,0.30%
06/30/2026,ARKVX,Relation Therapeutics Inc.,,,0.29%
06/30/2026,ARKVX,Umoja Biopharma,,,0.26%
06/30/2026,ARKVX,"Pacific Biosciences of California, Inc.",PACB,69404D108,0.25%
06/30/2026,ARKVX,Shopify Inc.,SHOP,82509L107,0.24%
06/30/2026,ARKVX,Archer Aviation Inc.,ACHR,03945R102,0.18%
06/30/2026,ARKVX,SonaThera,,,0.17%
06/30/2026,ARKVX,"Bitmine Immersion Technologies, Inc.",BMNR,09175A206,0.15%
06/30/2026,ARKVX,"Freenome, Inc",,,0.11%
06/30/2026,ARKVX,"GameFam, Inc.",,,0.10%
06/30/2026,ARKVX,"Groq, Inc.",,,0.09%
06/30/2026,ARKVX,Chipper Cash,,,0.07%
06/30/2026,ARKVX,"Firmly, Inc.",,,0.07%
06/30/2026,ARKVX,"Atomic Vaults, Inc.",,,0.05%
06/30/2026,ARKVX,"Axiom Space, Inc.",,,0.05%
06/30/2026,ARKVX,"KINO Tech, Inc.",,,0.05%
06/30/2026,ARKVX,"Outrider Technologies, Inc.",,,0.05%
06/30/2026,ARKVX,Pave Financial Inc.,,,0.05%
06/30/2026,ARKVX,Sortium Inc.,,,0.02%
06/30/2026,ARKVX,Tilda Technologies Inc. (DBA Humata),,,0.02%
06/30/2026,ARKVX,"Flexport, Inc",,,0.01%
"Holdings are subject to change. Not a recommendation to buy, sell, or hold any specific security. You should not expect to be able to sell your Shares other than through the Fund’s repurchase policy, regardless of how the Fund performs. The Fund’s Shares will not be listed on any securities exchange, and the Fund does not expect a secondary market in the Shares to develop. Shares may be transferred or sold only in accordance with the Fund’s prospectus. Although the Fund will offer to repurchase Shares on a quarterly basis, Shares are not redeemable, and there is no guarantee that shareholders will be able to sell all of their tendered Shares during a quarterly repurchase offer. An investment in the Fund’s Shares is not suitable for investors who require liquidity, other than liquidity provided through the Fund’s repurchase policy. The ARK Venture Fund is a continuously offered, nondiversified, registered closed-end fund with limited liquidity.&nbsp;Certain holdings within the ARK Venture Fund may display as 0.00% due to rounding. These positions represent actual holdings in the Fund; however, given the Fund's total net assets, the weight of these positions does not round to the nearest hundredth of a percent (0.01%).All statements made regarding investment opportunities are strictly beliefs and points of view held by ARK, and investors should determine for themselves whether a particular investment or service is suitable for their investment needs. Certain statements contained in this document may be statements of future expectations and other forward-looking statements that are based on ARK’s current views and assumptions, and involve known and unknown risks and uncertainties that could cause actual results, performance, or events to differ materially from those expressed or implied in such statements. The matters discussed in this document may also involve risks and uncertainties described from time to time in ARK’s filings with the U.S. Securities and Exchange Commission. ARK assumes no obligation to update any forward-looking information contained in this presentation. Past performance is not a guarantee of future results. Investors should carefully consider the investment objectives and risks as well as charges and expenses of the ARK Venture Fund before investing. This and other information are contained in the ARK Venture Fund’s prospectus, which may be obtained by visiting ark-funds.com/funds/arkvx. The prospectus should be read carefully before investing. An investment in the ARK Venture Fund is subject to risks and you can lose money on your investment in the ARK Venture Fund. There can be no assurance that the ARK Venture Fund will achieve its investment objectives. The ARK Venture Fund’s portfolio is more volatile than broad market averages. The ARK Venture Fund also has specific risks, which are described below. More detailed information regarding these risks can be found in the ARK Venture Fund’s prospectus. ARK Investment Management LLC is the investment adviser to the ARK Venture Fund.&nbsp;Foreside Fund Services, LLC, distributor.&nbsp;© 2026. ARK Venture Fund. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
