date,fund,company,ticker,cusip,shares,market value ($),weight (%)
06/08/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,645,819","$113,923,591.18",9.18%
06/08/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"1,882,866","$97,607,773.44",7.86%
06/08/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"1,983,454","$92,091,769.22",7.42%
06/08/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,857,161","$88,686,277.44",7.14%
06/08/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,222,334","$77,640,090.50",6.25%
06/08/2026,ARKG,ABSCI CORP,ABSI,00091E109,"10,723,603","$68,631,059.20",5.53%
06/08/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"1,979,940","$58,210,236.00",4.69%
06/08/2026,ARKG,ILLUMINA INC,ILMN,452327109,"353,885","$57,442,613.20",4.63%
06/08/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"446,882","$56,132,848.02",4.52%
06/08/2026,ARKG,NATERA INC,NTRA,632307104,"236,713","$50,966,676.03",4.11%
06/08/2026,ARKG,VERACYTE INC,VCYT,92337F107,"864,372","$42,120,847.56",3.39%
06/08/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"3,041,216","$41,178,064.64",3.32%
06/08/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,691,507","$37,636,030.75",3.03%
06/08/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"11,304,972","$37,475,982.18",3.02%
06/08/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"2,987,338","$36,176,663.18",2.91%
06/08/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,835,612","$31,021,842.80",2.50%
06/08/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"1,885,657","$27,115,747.66",2.18%
06/08/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,552,846","$22,733,665.44",1.83%
06/08/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"412,679","$21,545,970.59",1.74%
06/08/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,404,327","$20,127,774.39",1.62%
06/08/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"259,694","$19,342,009.12",1.56%
06/08/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,530,571","$18,473,168.30",1.49%
06/08/2026,ARKG,CERUS CORP,CERS,157085101,"6,668,226","$18,070,892.46",1.46%
06/08/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"3,948,086","$15,594,939.70",1.26%
06/08/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"9,813,599","$14,229,718.55",1.15%
06/08/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,758,950","$13,948,473.50",1.12%
06/08/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,437,472","$13,578,664.32",1.09%
06/08/2026,ARKG,ELI LILLY & CO,LLY,532457108,"11,341","$12,831,434.22",1.03%
06/08/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"537,463","$11,039,490.02",0.89%
06/08/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"114,383","$10,074,854.64",0.81%
06/08/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,241,429","$6,553,500.45",0.53%
06/08/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"453,675","$5,838,797.25",0.47%
06/08/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"3,367,838","$3,367,838.08",0.27%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
