date,fund,company,ticker,cusip,shares,market value ($),weight (%)
02/20/2026,ARKK,TESLA INC,TSLA,88160R101,"1,632,012","$671,915,660.52",10.76%
02/20/2026,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"7,234,232","$395,278,436.48",6.33%
02/20/2026,ARKK,TEMPUS AI INC,TEM,88023B103,"6,009,067","$360,303,657.32",5.77%
02/20/2026,ARKK,ROKU INC,ROKU,77543R102,"3,227,844","$289,247,100.84",4.63%
02/20/2026,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,300,349","$284,783,206.20",4.56%
02/20/2026,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"3,308,160","$250,262,304.00",4.01%
02/20/2026,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"1,455,203","$241,476,385.82",3.87%
02/20/2026,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"1,178,972","$239,767,535.64",3.84%
02/20/2026,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"8,461,527","$235,907,372.76",3.78%
02/20/2026,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"3,402,759","$219,273,789.96",3.51%
02/20/2026,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"1,424,641","$192,169,824.49",3.08%
02/20/2026,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"3,657,447","$191,979,393.03",3.07%
02/20/2026,ARKK,TERADYNE INC,TER,880770102,"573,718","$181,237,516.20",2.90%
02/20/2026,ARKK,CIRCLE INTERNET GROUP INC,CRCL,172573107,"2,696,870","$166,990,190.40",2.67%
02/20/2026,ARKK,BULLISH,BLSH,G16910120,"4,554,510","$147,429,488.70",2.36%
02/20/2026,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"7,005,371","$134,433,069.49",2.15%
02/20/2026,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"18,562,343","$134,205,739.89",2.15%
02/20/2026,ARKK,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"6,188,829","$123,529,026.84",1.98%
02/20/2026,ARKK,COREWEAVE INC-CL A,CRWV,21873S108,"1,224,377","$118,935,981.78",1.90%
02/20/2026,ARKK,DEERE & CO,DE,244199105,"177,676","$117,621,512.00",1.88%
02/20/2026,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"8,758,919","$114,216,303.76",1.83%
02/20/2026,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"295,677","$106,559,034.03",1.71%
02/20/2026,ARKK,AMAZON.COM INC,AMZN,023135106,"502,974","$103,039,253.64",1.65%
02/20/2026,ARKK,NVIDIA CORP,NVDA,67066G104,"549,723","$103,292,951.70",1.65%
02/20/2026,ARKK,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"798,921","$84,421,982.07",1.35%
02/20/2026,ARKK,NATERA INC,NTRA,632307104,"383,970","$83,075,749.20",1.33%
02/20/2026,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"21,973,576","$81,741,702.72",1.31%
02/20/2026,ARKK,BWX TECHNOLOGIES INC,BWXT,05605H100,"389,076","$81,344,119.32",1.30%
02/20/2026,ARKK,BLOCK INC,XYZ,852234103,"1,507,652","$79,739,714.28",1.28%
02/20/2026,ARKK,ILLUMINA INC,ILMN,452327109,"664,744","$79,769,280.00",1.28%
02/20/2026,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,"552,011","$75,686,228.21",1.21%
02/20/2026,ARKK,VERACYTE INC,VCYT,92337F107,"2,045,287","$74,203,012.36",1.19%
02/20/2026,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"107,676","$69,427,331.28",1.11%
02/20/2026,ARKK,BROADCOM INC,AVGO,11135F101,"187,830","$62,733,341.70",1.00%
02/20/2026,ARKK,GENEDX HOLDINGS CORP,WGS,81663L200,"681,604","$61,807,850.72",0.99%
02/20/2026,ARKK,ALPHABET INC-CL C,GOOG,02079K107,"174,190","$52,877,116.40",0.85%
02/20/2026,ARKK,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"341,909","$52,746,301.43",0.84%
02/20/2026,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,"2,193,000","$42,324,900.00",0.68%
02/20/2026,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"20,327,980","$34,151,006.40",0.55%
02/20/2026,ARKK,CERUS CORP,CERS,157085101,"9,220,919","$23,605,552.64",0.38%
02/20/2026,ARKK,FIGMA INC-CL A,,316841105,"823,965","$21,307,734.90",0.34%
02/20/2026,ARKK,PAGERDUTY INC,PD,69553P100,"2,686,301","$17,971,353.69",0.29%
02/20/2026,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"740,033","$16,643,342.17",0.27%
02/20/2026,ARKK,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"15,476,120","$15,476,119.58",0.25%
02/20/2026,ARKK,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"6,917,729","$7,401,970.03",0.12%
02/20/2026,ARKK,BRERA HOLDINGS PLC WTS,,BREADUMMY,"4,316,257","$3,237,192.75",0.05%
