date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/22/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"893,970","$72,983,710.80",9.01%
04/22/2025,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"384,405","$67,270,875.00",8.31%
04/22/2025,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"636,601","$55,511,607.20",6.85%
04/22/2025,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,259,484","$50,190,437.40",6.20%
04/22/2025,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,276,268","$42,218,945.44",5.21%
04/22/2025,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"428,986","$38,951,928.80",4.81%
04/22/2025,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"613,472","$36,753,107.52",4.54%
04/22/2025,ARKF,BLOCK INC,XYZ,852234103,"679,283","$35,587,636.37",4.39%
04/22/2025,ARKF,MERCADOLIBRE INC,MELI,58733R102,"15,342","$31,549,749.06",3.90%
04/22/2025,ARKF,ADYEN NV,ADYEN,BZ1HM42,"19,271","$31,074,312.76",3.84%
04/22/2025,ARKF,ROKU INC,ROKU,77543R102,"399,540","$23,640,781.80",2.92%
04/22/2025,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"659,566","$21,396,321.04",2.64%
04/22/2025,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"41,209","$19,972,353.94",2.47%
04/22/2025,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,852,996","$19,808,527.24",2.45%
04/22/2025,ARKF,SEA LTD-ADR,SE,81141R100,"162,134","$18,893,475.02",2.33%
04/22/2025,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,"761,321","$18,431,581.41",2.28%
04/22/2025,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"31,745","$17,739,740.90",2.19%
04/22/2025,ARKF,LY CORP,4689,6084848,"4,322,896","$17,065,718.71",2.11%
04/22/2025,ARKF,AMAZON.COM INC,AMZN,023135106,"101,529","$16,987,832.28",2.10%
04/22/2025,ARKF,IBOTTA INC-CL A,IBTA,451051106,"324,641","$14,806,876.01",1.83%
04/22/2025,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,236,983","$13,248,087.93",1.64%
04/22/2025,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"35,790","$12,980,675.10",1.60%
04/22/2025,ARKF,DISCOVERY LTD,DSY,6177878,"1,231,924","$12,787,009.27",1.58%
04/22/2025,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,"399,405","$12,661,138.50",1.56%
04/22/2025,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"127,223","$10,434,830.46",1.29%
04/22/2025,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,"160,724","$9,689,246.34",1.20%
04/22/2025,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"120,389","$9,657,605.58",1.19%
04/22/2025,ARKF,INTUIT INC,INTU,461202103,"15,927","$9,059,914.68",1.12%
04/22/2025,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"58,687","$9,098,245.61",1.12%
04/22/2025,ARKF,REDDIT INC-CL A,RDDT,75734B100,"88,878","$8,367,863.70",1.03%
04/22/2025,ARKF,NVIDIA CORP,NVDA,67066G104,"85,800","$8,314,878.00",1.03%
04/22/2025,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"131,670","$7,938,384.30",0.98%
04/22/2025,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"69,453","$7,751,649.33",0.96%
04/22/2025,ARKF,AVIDXCHANGE HOLDINGS INC,AVDX,05368X102,"916,222","$6,825,853.90",0.84%
04/22/2025,ARKF,BILL HOLDINGS INC,BILL,090043100,"156,562","$6,240,561.32",0.77%
04/22/2025,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"831,955","$5,153,676.86",0.64%
04/22/2025,ARKF,3IQ SOLANA STAKING ETF,SOLQ,BTRDQ40,"487,500","$5,201,127.60",0.64%
04/22/2025,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"348,283","$3,555,969.43",0.44%
04/22/2025,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0,$0.00,0.00%
