date,fund,company,ticker,cusip,shares,market value ($),weight (%)
05/19/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"641,034","$65,635,471.26",8.29%
05/19/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"484,301","$53,946,288.39",6.82%
05/19/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,096,992","$53,422,968.19",6.75%
05/19/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"248,166","$47,012,567.04",5.94%
05/19/2026,ARKF,BLOCK INC,XYZ,852234103,"601,920","$42,513,609.60",5.37%
05/19/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"489,988","$37,802,574.20",4.78%
05/19/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"241,325","$32,612,660.50",4.12%
05/19/2026,ARKF,AMAZON.COM INC,AMZN,023135106,"116,523","$30,862,281.78",3.90%
05/19/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,"66,986","$28,200,436.14",3.56%
05/19/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,220,441","$27,630,784.24",3.49%
05/19/2026,ARKF,BULLISH,BLSH,G16910120,"757,616","$26,940,824.96",3.40%
05/19/2026,ARKF,ROKU INC,ROKU,77543R102,"194,655","$24,166,418.25",3.05%
05/19/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"37,437","$22,881,868.77",2.89%
05/19/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"14,220","$22,551,640.20",2.85%
05/19/2026,ARKF,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"31,991","$21,999,791.62",2.78%
05/19/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"419,422","$19,704,445.56",2.49%
05/19/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,246,763","$19,586,646.73",2.48%
05/19/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"15,654","$16,586,476.26",2.10%
05/19/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"72,862","$16,198,679.84",2.05%
05/19/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"612,233","$15,783,366.74",1.99%
05/19/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"805,186","$15,081,133.78",1.91%
05/19/2026,ARKF,SEA LTD-ADR,SE,81141R100,"167,030","$14,747,078.70",1.86%
05/19/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"23,365","$14,458,962.95",1.83%
05/19/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,129,899","$13,886,458.71",1.75%
05/19/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"27,314","$12,155,003.14",1.54%
05/19/2026,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"90,222","$12,116,814.60",1.53%
05/19/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"751,001","$11,678,065.55",1.48%
05/19/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"86,689","$11,416,941.30",1.44%
05/19/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,"271,719","$11,064,397.68",1.40%
05/19/2026,ARKF,DOORDASH INC - A,DASH,25809K105,"61,897","$10,068,784.99",1.27%
05/19/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"71,747","$9,561,005.22",1.21%
05/19/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"160,875","$5,979,723.75",0.76%
05/19/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"60,448","$5,374,129.44",0.68%
05/19/2026,ARKF,PAYPAY CORP,PAYP,70450C101,"258,325","$4,985,672.50",0.63%
05/19/2026,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"559,412","$4,855,696.16",0.61%
05/19/2026,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"397,283","$2,860,437.60",0.36%
05/19/2026,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"11,138","$1,737,416.62",0.22%
05/19/2026,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,"427,595","$1,393,959.70",0.18%
05/19/2026,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,222,424","$1,222,423.92",0.15%
05/19/2026,ARKF,BRERA HOLDINGS PLC-CL B,,G13311132,"92,517","$445,931.94",0.06%
05/19/2026,ARKF,BRERA HOLDINGS PLC WTS,,BREADUMMY,"78,805","$208,834.05",0.03%
