date,fund,company,ticker,cusip,shares,market value ($),weight (%)
02/05/2025,PRNT,3D SYSTEMS CORP,DDD,88554D205,"1,157,009","$5,345,381.58",5.82%
02/05/2025,PRNT,STRATASYS LTD,SSYS,M85548101,"396,026","$4,930,523.70",5.37%
02/05/2025,PRNT,PROTO LABS INC,PRLB,743713109,"92,666","$3,995,757.92",4.35%
02/05/2025,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"465,779","$3,996,383.82",4.35%
02/05/2025,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,527,903","$3,880,873.62",4.23%
02/05/2025,PRNT,RENISHAW PLC,RSW,0732358,"86,147","$3,825,097.23",4.17%
02/05/2025,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"89,431","$3,777,374.93",4.11%
02/05/2025,PRNT,XOMETRY INC-A,XMTR,98423F109,"106,620","$3,721,038.00",4.05%
02/05/2025,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"26,363","$3,716,196.77",4.05%
02/05/2025,PRNT,NIKON CORP,7731,6642321,"334,769","$3,612,349.69",3.93%
02/05/2025,PRNT,HP INC,HPQ,40434L105,"108,927","$3,486,753.27",3.80%
02/05/2025,PRNT,TITOMIC LTD,TTT,BYZ03N6,"23,166,183","$3,480,757.72",3.79%
02/05/2025,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,157,085","$3,401,281.70",3.70%
02/05/2025,PRNT,AUTODESK INC,ADSK,052769106,"10,954","$3,361,234.90",3.66%
02/05/2025,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"105,305","$3,283,409.90",3.58%
02/05/2025,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"170,091","$3,281,055.39",3.57%
02/05/2025,PRNT,SIEMENS AG-REG,SIE,5727973,"15,561","$3,262,076.12",3.55%
02/05/2025,PRNT,PTC INC,PTC,69370C100,"16,992","$3,246,661.44",3.54%
02/05/2025,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,"28,926","$3,194,876.70",3.48%
02/05/2025,PRNT,ANSYS INC,ANSS,03662Q105,"9,161","$3,178,500.56",3.46%
02/05/2025,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"140,517","$1,658,238.93",1.81%
02/05/2025,PRNT,AMETEK INC,AME,031100100,"7,845","$1,416,022.50",1.54%
02/05/2025,PRNT,GENERAL ELECTRIC,GE,369604301,"6,749","$1,364,512.82",1.49%
02/05/2025,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"6,312","$1,355,502.00",1.48%
02/05/2025,PRNT,MELROSE INDUSTRIES PLC,MRO,BNGDN82,"179,028","$1,350,133.72",1.47%
02/05/2025,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"36,336","$1,243,804.59",1.35%
02/05/2025,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"317,273","$1,227,927.34",1.34%
02/05/2025,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"6,258","$1,210,172.04",1.32%
02/05/2025,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"5,562","$1,171,969.02",1.28%
02/05/2025,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"16,334","$1,145,666.76",1.25%
02/05/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,935","$1,096,906.70",1.19%
02/05/2025,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,"9,349","$1,044,937.73",1.14%
02/05/2025,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"470,644","$470,644.16",0.51%
02/05/2025,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"5,270","$98,954.80",0.11%
02/05/2025,PRNT,ATI INC,ATI,01741R102,"1,628","$103,736.16",0.11%
02/05/2025,PRNT,AVIENT CORP,AVNT,05368V106,"2,251","$97,108.14",0.11%
02/05/2025,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,"1,022","$104,029.38",0.11%
02/05/2025,PRNT,EASTMAN KODAK CO,KODK,277461406,"12,748","$98,032.12",0.11%
02/05/2025,PRNT,TORAY INDUSTRIES INC,3402,6897143,"14,605","$102,918.12",0.11%
02/05/2025,PRNT,SANDVIK AB,SAND,B1VQ252,"5,039","$104,173.21",0.11%
02/05/2025,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,229","$97,387.73",0.11%
02/05/2025,PRNT,VOESTALPINE AG,VOE,4943402,"4,857","$100,329.98",0.11%
02/05/2025,PRNT,3M CO,MMM,88579Y101,673,"$102,080.64",0.11%
02/05/2025,PRNT,JABIL INC,JBL,466313103,579,"$93,699.57",0.10%
02/05/2025,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,"1,073","$93,227.80",0.10%
02/05/2025,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,"1,220","$93,940.00",0.10%
02/05/2025,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,469,"$90,085.52",0.10%
02/05/2025,PRNT,MATERION CORP,MTRN,576690101,942,"$93,870.30",0.10%
02/05/2025,PRNT,5N PLUS INC,VNP,B2B3VZ3,"16,106","$85,718.68",0.09%
02/05/2025,PRNT,SGL CARBON SE,SGL,4818351,"21,924","$84,929.09",0.09%
02/05/2025,PRNT,HEXCEL CORP,HXL,428291108,"1,336","$85,650.96",0.09%
02/05/2025,PRNT,MARKFORGED HOLDING CORP,,57064N201,1,$2.92,0.00%
