date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/12/2021,PRNT,3D SYSTEMS CORP,DDD,88554D205,"1,223,960","$42,116,463.60",7.77%
07/12/2021,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,"19,074","$32,254,506.65",5.95%
07/12/2021,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,"393,798","$27,203,565.84",5.02%
07/12/2021,PRNT,EXONE CO/THE,XONE,302104104,"1,379,885","$27,018,148.30",4.98%
07/12/2021,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"529,821","$26,829,367.54",4.95%
07/12/2021,PRNT,MICROSOFT CORP,MSFT,594918104,"93,466","$25,977,940.04",4.79%
07/12/2021,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,"1,175,368","$25,720,556.65",4.75%
07/12/2021,PRNT,TRIMBLE INC,TRMB,896239100,"295,592","$24,610,989.92",4.54%
07/12/2021,PRNT,AUTODESK INC,ADSK,052769106,"81,154","$23,971,268.52",4.42%
07/12/2021,PRNT,PTC INC,PTC,69370C100,"164,379","$23,857,968.06",4.40%
07/12/2021,PRNT,HP INC,HPQ,40434L105,"765,016","$22,981,080.64",4.24%
07/12/2021,PRNT,ANSYS INC,ANSS,03662Q105,"64,759","$22,909,143.84",4.23%
07/12/2021,PRNT,MGI DIGITAL GRAPHIC TECHNOLO,ALMDG,B18FJV7,"429,913","$22,651,192.81",4.18%
07/12/2021,PRNT,RENISHAW PLC,RSW,0732358,"290,011","$20,170,157.65",3.72%
07/12/2021,PRNT,DESKTOP METAL INC-A,DM,25058X105,"1,861,396","$19,432,974.24",3.59%
07/12/2021,PRNT,STRATASYS LTD,SSYS,M85548101,"667,325","$15,255,049.50",2.81%
07/12/2021,PRNT,PROTO LABS INC,PRLB,743713109,"120,137","$11,133,095.79",2.05%
07/12/2021,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"496,077","$7,594,462.42",1.40%
07/12/2021,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"11,662","$7,314,289.78",1.35%
07/12/2021,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"308,366","$7,249,684.66",1.34%
07/12/2021,PRNT,AMETEK INC,AME,031100100,"53,154","$7,200,772.38",1.33%
07/12/2021,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"84,686","$6,685,112.84",1.23%
07/12/2021,PRNT,ARCONIC CORP,ARNC,03966V107,"178,705","$6,422,657.70",1.18%
07/12/2021,PRNT,BERTRANDT AG,BDT,5130861,"87,028","$6,006,922.25",1.11%
07/12/2021,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,"27,322","$5,844,722.24",1.08%
07/12/2021,PRNT,MICHELIN (CGDE),ML,4588364,"33,171","$5,402,725.39",1.00%
07/12/2021,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"39,876","$5,371,297.20",0.99%
07/12/2021,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"43,085","$5,244,306.20",0.97%
07/12/2021,PRNT,STRYKER CORP,SYK,863667101,"19,122","$5,056,430.46",0.93%
07/12/2021,PRNT,MEDTRONIC PLC,MDT UN,G5960L103,"38,992","$4,997,604.64",0.92%
07/12/2021,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,"101,462","$4,817,415.76",0.89%
07/12/2021,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"422,931","$4,851,219.70",0.89%
07/12/2021,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"56,977","$4,748,463.18",0.88%
07/12/2021,PRNT,GENERAL ELECTRIC CO,GE,369604103,"361,993","$4,763,827.88",0.88%
07/12/2021,PRNT,NUVASIVE INC,NUVA,670704105,"71,155","$4,668,479.55",0.86%
07/12/2021,PRNT,SIEMENS AG-REG,SIE,5727973,"29,282","$4,621,111.83",0.85%
07/12/2021,PRNT,ULTRA CLEAN HOLDINGS INC,UCTT,90385V107,"89,553","$4,633,472.22",0.85%
07/12/2021,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"197,583","$1,436,428.41",0.26%
07/12/2021,PRNT,SGL CARBON SE,SGL,4818351,"88,685","$828,112.98",0.15%
07/12/2021,PRNT,EASTMAN KODAK CO,KODK,277461406,"91,984","$745,990.24",0.14%
07/12/2021,PRNT,HEXCEL CORP,HXL,428291108,"11,913","$732,053.85",0.14%
07/12/2021,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,"3,762","$706,813.54",0.13%
07/12/2021,PRNT,TORAY INDUSTRIES INC,3402,6897143,"107,008","$685,788.00",0.13%
07/12/2021,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,"8,664","$679,950.72",0.13%
07/12/2021,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,"16,001","$641,800.11",0.12%
07/12/2021,PRNT,3M CO,MMM,88579Y101,"3,298","$662,898.00",0.12%
07/12/2021,PRNT,VOESTALPINE AG,VOE,4943402,"15,166","$641,052.90",0.12%
07/12/2021,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,"30,130","$663,161.30",0.12%
07/12/2021,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"18,374","$627,128.03",0.12%
07/12/2021,PRNT,PYROGENESIS CANADA INC,PYR,B43JTF9,"127,121","$641,246.54",0.12%
07/12/2021,PRNT,ARKEMA,AKE,B0Z5YZ2,"5,336","$677,023.82",0.12%
07/12/2021,PRNT,XEROX HOLDINGS CORP,XRX UN,98421M106,"26,998","$650,921.78",0.12%
07/12/2021,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,"5,844","$671,767.80",0.12%
07/12/2021,PRNT,SANDVIK AB,SAND,B1VQ252,"23,777","$620,081.39",0.11%
07/12/2021,PRNT,HENKEL AG & CO KGAA VORZUG,HEN3,5076705,"5,737","$598,133.79",0.11%
07/12/2021,PRNT,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"399,858.95","$399,858.95",0.07%
07/12/2021,PRNT,GREAT BRITISH POUND,,GBP,0.24,$0.33,0.00%
