date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/15/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,"3,945,861","$587,341,409.85",6.82%
07/15/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,"3,937,462","$435,247,049.48",5.05%
07/15/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,"694,773","$403,704,799.38",4.69%
07/15/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"13,265,460","$365,596,077.60",4.24%
07/15/2021,ARKG,CAREDX INC,CDNA,14167L103,"4,372,696","$345,486,710.96",4.01%
07/15/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,"1,730,264","$342,401,942.96",3.97%
07/15/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,"4,019,033","$310,108,586.28",3.60%
07/15/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"8,688,186","$306,345,438.36",3.56%
07/15/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,531,007","$283,371,543.72",3.29%
07/15/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,"3,015,066","$278,773,002.36",3.24%
07/15/2021,ARKG,ACCOLADE INC,ACCD,00437E102,"5,280,908","$264,995,963.44",3.08%
07/15/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,"15,100,651","$260,637,236.26",3.03%
07/15/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,"826,564","$260,499,910.24",3.02%
07/15/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,"4,874,193","$236,203,392.78",2.74%
07/15/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"1,798,894","$234,413,877.14",2.72%
07/15/2021,ARKG,INCYTE CORP,INCY,45337C102,"2,875,006","$229,626,729.22",2.67%
07/15/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"1,538,955","$217,084,992.30",2.52%
07/15/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,546,367","$171,319,571.76",1.99%
07/15/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,"2,401,209","$160,400,761.20",1.86%
07/15/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"925,914","$156,479,466.00",1.82%
07/15/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,"6,662,769","$155,442,400.77",1.80%
07/15/2021,ARKG,UIPATH INC - CLASS A,PATH,90364P105,"2,409,295","$149,352,197.05",1.73%
07/15/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"1,731,616","$148,434,123.52",1.72%
07/15/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"4,257,605","$145,269,482.60",1.69%
07/15/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,"3,235,216","$139,114,288.00",1.61%
07/15/2021,ARKG,INVITAE CORP,NVTA,46185L103,"4,734,470","$135,453,186.70",1.57%
07/15/2021,ARKG,CODEXIS INC,CDXS,192005106,"6,508,803","$129,395,003.64",1.50%
07/15/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,"4,517,083","$125,755,590.72",1.46%
07/15/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,"1,507,037","$102,297,671.56",1.19%
07/15/2021,ARKG,PERSONALIS INC,PSNL,71535D106,"4,760,492","$101,065,245.16",1.17%
07/15/2021,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"2,789,296","$92,911,449.76",1.08%
07/15/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,"4,893,051","$89,004,597.69",1.03%
07/15/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,"3,175,101","$86,458,000.23",1.00%
07/15/2021,ARKG,908 DEVICES INC,MASS,65443P102,"2,657,623","$85,097,088.46",0.99%
07/15/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"7,732,456","$84,051,796.72",0.98%
07/15/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,779,513","$77,492,822.44",0.90%
07/15/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,"2,249,373","$73,644,472.02",0.85%
07/15/2021,ARKG,VERACYTE INC,VCYT,92337F107,"1,965,408","$70,007,832.96",0.81%
07/15/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,"4,538,357","$63,264,696.58",0.73%
07/15/2021,ARKG,ABBVIE INC,ABBV,00287Y109,"532,243","$62,464,038.48",0.73%
07/15/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,"1,279,863","$55,136,498.04",0.64%
07/15/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,"931,737","$52,391,571.51",0.61%
07/15/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,"4,469,304","$51,754,540.32",0.60%
07/15/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,"2,509,444","$51,443,602.00",0.60%
07/15/2021,ARKG,SEER INC,SEER,81578P106,"1,524,185","$43,789,835.05",0.51%
07/15/2021,ARKG,QUANTUM-SI INC,QSI,74765K105,"3,607,342","$43,324,177.42",0.50%
07/15/2021,ARKG,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"43,081,335.57","$43,081,335.57",0.50%
07/15/2021,ARKG,ZYMERGEN INC,ZY,98985X100,"1,070,641","$38,735,791.38",0.45%
07/15/2021,ARKG,VERVE THERAPEUTICS INC,VERV,92539P101,"766,396","$38,112,873.08",0.44%
07/15/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,"6,700,048","$33,366,239.04",0.39%
07/15/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,"491,443","$32,852,964.55",0.38%
07/15/2021,ARKG,CM LIFE SCIENCES II INC,,125842203,"2,779,443","$32,853,016.26",0.38%
07/15/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,"4,040,900","$28,609,572.00",0.33%
07/15/2021,ARKG,CERUS CORP,CERS,157085101,"5,759,424","$28,221,177.60",0.33%
07/15/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,"4,389,218","$28,486,024.82",0.33%
07/15/2021,ARKG,DYNAMICS SPECIAL PURPOSE C-A,DYNS,268010105,"2,032,517","$19,979,642.11",0.23%
07/15/2021,ARKG,DICERNA PHARMACEUTICALS INC,DRNA,253031108,"319,929","$12,438,839.52",0.14%
07/15/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,"3,237,083","$9,549,394.85",0.11%
07/15/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,"658,417","$2,416,390.39",0.03%
07/15/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO,68620A203,"264,193","$2,015,792.59",0.02%
