date,fund,company,ticker,cusip,shares,market value ($),weight (%)
10/30/2024,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,478,643","$105,714,123.95",8.58%
10/30/2024,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"1,811,442","$88,651,971.48",7.19%
10/30/2024,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"13,030,519","$87,825,698.06",7.13%
10/30/2024,ARKG,CAREDX INC,CDNA,14167L103,"2,774,163","$62,696,083.80",5.09%
10/30/2024,ARKG,VERACYTE INC,VCYT,92337F107,"1,635,122","$56,215,494.36",4.56%
10/30/2024,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"1,365,598","$54,227,896.58",4.40%
10/30/2024,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"11,444,188","$53,902,125.48",4.37%
10/30/2024,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"2,098,654","$52,886,080.80",4.29%
10/30/2024,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"3,135,546","$47,001,834.54",3.81%
10/30/2024,ARKG,NATERA INC,NTRA,632307104,"370,429","$46,207,313.46",3.75%
10/30/2024,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,835,944","$44,779,555.76",3.63%
10/30/2024,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,305,424","$43,203,645.76",3.51%
10/30/2024,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"1,924,651","$42,669,512.67",3.46%
10/30/2024,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,072,760","$39,631,171.20",3.22%
10/30/2024,ARKG,TEMPUS AI INC,TEM,88023B103,"802,533","$36,290,542.26",2.94%
10/30/2024,ARKG,PERSONALIS INC,PSNL,71535D106,"6,990,175","$35,859,597.75",2.91%
10/30/2024,ARKG,GUARDANT HEALTH INC,GH,40131M109,"1,492,324","$32,517,739.96",2.64%
10/30/2024,ARKG,ABSCI CORP,ABSI,00091E109,"7,184,033","$29,957,417.61",2.43%
10/30/2024,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,"122,745","$26,249,018.25",2.13%
10/30/2024,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"12,597,116","$25,950,058.96",2.11%
10/30/2024,ARKG,AMGEN INC,AMGN,031162100,"75,575","$23,881,700.00",1.94%
10/30/2024,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,"40,759","$19,171,403.24",1.56%
10/30/2024,ARKG,ACCOLADE INC,ACCD,00437E102,"5,311,296","$17,527,276.80",1.42%
10/30/2024,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"8,558,759","$16,261,642.10",1.32%
10/30/2024,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,"223,542","$15,567,464.88",1.26%
10/30/2024,ARKG,INCYTE CORP,INCY,45337C102,"208,610","$15,353,696.00",1.25%
10/30/2024,ARKG,STANDARD BIOTOOLS INC,LAB,34385P108,"8,214,425","$14,375,243.75",1.17%
10/30/2024,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,"14,948","$13,861,728.84",1.12%
10/30/2024,ARKG,CERUS CORP,CERS,157085101,"8,111,634","$13,789,777.80",1.12%
10/30/2024,ARKG,MODERNA INC,MRNA,60770K107,"241,201","$13,319,119.22",1.08%
10/30/2024,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"1,978,568","$12,306,692.96",1.00%
10/30/2024,ARKG,PRIME MEDICINE INC,PRME,74168J101,"2,784,841","$11,362,151.28",0.92%
10/30/2024,ARKG,908 DEVICES INC,MASS,65443P102,"3,177,515","$10,549,349.80",0.86%
10/30/2024,ARKG,QUANTUM-SI INC,QSI,74765K105,"11,690,056","$9,008,357.15",0.73%
10/30/2024,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,"2,475,815","$8,888,175.85",0.72%
10/30/2024,ARKG,ILLUMINA INC,ILMN,452327109,"22,142","$3,232,732.00",0.26%
10/30/2024,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,160,468","$1,160,468.23",0.09%
10/30/2024,ARKG,SENTI BIOSCIENCES INC,SNTI,81726A209,"171,057","$388,299.39",0.03%
