date,fund,company,ticker,cusip,shares,market value ($),weight (%)
10/30/2023,ARKX,AEROVIRONMENT INC,AVAV,008073108,"182,583","$20,801,681.19",8.87%
10/30/2023,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"1,199,180","$20,338,092.80",8.67%
10/30/2023,ARKX,TRIMBLE INC,TRMB,896239100,"425,807","$19,621,186.56",8.36%
10/30/2023,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"463,543","$16,710,725.15",7.12%
10/30/2023,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"66,580","$11,380,519.40",4.85%
10/30/2023,ARKX,KOMATSU LTD,6301,6496584,"445,188","$10,983,844.08",4.68%
10/30/2023,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"601,483","$10,489,863.52",4.47%
10/30/2023,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"619,106","$9,249,443.64",3.94%
10/30/2023,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"2,053,814","$9,139,472.30",3.90%
10/30/2023,ARKX,TERADYNE INC,TER,880770102,"104,240","$8,739,481.60",3.72%
10/30/2023,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"201,309","$8,055,594.15",3.43%
10/30/2023,ARKX,DEERE & CO,DE,244199105,"19,877","$7,178,578.55",3.06%
10/30/2023,ARKX,AMAZON.COM INC,AMZN,023135106,"53,150","$6,789,381.00",2.89%
10/30/2023,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,187,222","$6,221,043.28",2.65%
10/30/2023,ARKX,THALES SA,HO,4162791,"39,980","$5,960,321.10",2.54%
10/30/2023,ARKX,ROCKET LAB USA INC,RKLB,773122106,"1,180,911","$4,912,589.76",2.09%
10/30/2023,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,"49,062","$4,891,972.02",2.08%
10/30/2023,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"38,626","$4,766,448.40",2.03%
10/30/2023,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"3,401,854","$4,084,155.97",1.74%
10/30/2023,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"21,903","$4,072,424.79",1.74%
10/30/2023,ARKX,SYNOPSYS INC,SNPS,871607107,"8,668","$3,961,276.00",1.69%
10/30/2023,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"20,624","$3,650,448.00",1.56%
10/30/2023,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"1,657,403","$3,497,120.33",1.49%
10/30/2023,ARKX,ANSYS INC,ANSS,03662Q105,"11,728","$3,175,356.00",1.35%
10/30/2023,ARKX,VELO3D INC,VLD,92259N104,"2,554,733","$3,142,321.59",1.34%
10/30/2023,ARKX,AIRBUS SE,AIR,4012250,"23,435","$3,095,207.37",1.32%
10/30/2023,ARKX,HEICO CORP,HEI,422806109,"19,253","$3,029,267.02",1.29%
10/30/2023,ARKX,UNITY SOFTWARE INC,U,91332U101,"118,356","$3,022,812.24",1.29%
10/30/2023,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"6,684","$2,963,618.76",1.26%
10/30/2023,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"7,532","$2,792,187.72",1.19%
10/30/2023,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,"101,519","$2,159,309.13",0.92%
10/30/2023,ARKX,MYNARIC AG NA O.N.,MYNA,62857X101,"585,403","$2,154,283.04",0.92%
10/30/2023,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,"3,177,225","$2,065,196.25",0.88%
10/30/2023,ARKX,3D SYSTEMS CORP,DDD,88554D205,"305,970","$1,089,253.20",0.46%
10/30/2023,ARKX,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"333,485","$333,484.77",0.14%
10/30/2023,ARKX,STRATASYS LTD,SSYS,M85548101,"11,218","$114,984.50",0.05%
