date,fund,company,ticker,cusip,shares,market value ($),weight (%)
08/12/2021,ARKX,TRIMBLE INC,TRMB,896239100,"697,438","$62,134,751.42",10.00%
08/12/2021,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"1,092,186","$42,256,676.34",6.80%
08/12/2021,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"907,221","$38,656,686.81",6.22%
08/12/2021,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"1,524,477","$38,325,351.78",6.17%
08/12/2021,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"149,912","$34,913,005.68",5.62%
08/12/2021,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"79,251","$28,791,888.30",4.63%
08/12/2021,ARKX,UNITY SOFTWARE INC,U,91332U101,"226,901","$27,534,436.35",4.43%
08/12/2021,ARKX,THALES SA,HO,4162791,"241,015","$24,921,948.90",4.01%
08/12/2021,ARKX,KOMATSU LTD,6301,6496584,"892,688","$22,482,931.79",3.62%
08/12/2021,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"4,871,823","$19,446,457.57",3.13%
08/12/2021,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"7,053","$19,422,480.87",3.13%
08/12/2021,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"323,897","$18,286,501.76",2.94%
08/12/2021,ARKX,AMAZON.COM INC,AMZN,023135106,"5,478","$18,034,178.58",2.90%
08/12/2021,ARKX,AEROVIRONMENT INC,AVAV,008073108,"171,034","$17,893,577.08",2.88%
08/12/2021,ARKX,BOEING CO/THE,BA,097023105,"73,808","$17,676,277.92",2.84%
08/12/2021,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"271,704","$17,527,625.04",2.82%
08/12/2021,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,186,933","$15,904,902.20",2.56%
08/12/2021,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,"345,002","$15,128,337.70",2.43%
08/12/2021,ARKX,NETFLIX INC,NFLX,64110L106,"27,354","$14,016,189.60",2.26%
08/12/2021,ARKX,TERADYNE INC,TER,880770102,"86,888","$10,546,465.44",1.70%
08/12/2021,ARKX,DEERE & CO,DE,244199105,"27,004","$10,425,704.32",1.68%
08/12/2021,ARKX,AIRBUS SE,AIR,4012250,"69,384","$9,428,161.34",1.52%
08/12/2021,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"1,209,058","$9,092,116.16",1.46%
08/12/2021,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"63,624","$8,407,911.60",1.35%
08/12/2021,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"30,988","$7,256,769.84",1.17%
08/12/2021,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,G50740102,"717,347","$7,166,296.53",1.15%
08/12/2021,ARKX,SYNOPSYS INC,SNPS,871607107,"24,452","$7,065,405.40",1.14%
08/12/2021,ARKX,GARMIN LTD,GRMN U,B3Z5T14,"40,247","$6,730,505.81",1.08%
08/12/2021,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"33,852","$6,596,400.72",1.06%
08/12/2021,ARKX,ANSYS INC,ANSS,03662Q105,"17,822","$6,470,811.76",1.04%
08/12/2021,ARKX,MEITUAN-CLASS B,3690,BGJW376,"206,063","$6,283,506.92",1.01%
08/12/2021,ARKX,NVIDIA CORP,NVDA,67066G104,"30,755","$6,058,427.45",0.98%
08/12/2021,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,"591,079","$5,952,165.53",0.96%
08/12/2021,ARKX,HEICO CORP,HEI,422806109,"44,640","$5,959,886.40",0.96%
08/12/2021,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"12,218","$5,583,015.10",0.90%
08/12/2021,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"5,007,088.48","$5,007,088.48",0.81%
08/12/2021,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,"395,128","$3,935,474.88",0.63%
