date,fund,company,ticker,cusip,shares,market value ($),weight (%)
12/12/2024,ARKQ,TESLA INC,TSLA,88160R101,"387,544","$164,617,064.88",17.14%
12/12/2024,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"2,929,104","$80,081,703.36",8.34%
12/12/2024,ARKQ,TERADYNE INC,TER,880770102,"638,277","$76,720,895.40",7.99%
12/12/2024,ARKQ,ROCKET LAB USA INC,RKLB,773122106,"2,438,301","$56,934,328.35",5.93%
12/12/2024,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"1,621,162","$49,104,996.98",5.11%
12/12/2024,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,"5,826,088","$43,054,790.32",4.48%
12/12/2024,ARKQ,TRIMBLE INC,TRMB,896239100,"563,576","$41,682,080.96",4.34%
12/12/2024,ARKQ,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"508,397","$36,863,866.47",3.84%
12/12/2024,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,"2,087,029","$30,554,104.56",3.18%
12/12/2024,ARKQ,DEERE & CO,DE,244199105,"60,736","$27,211,550.08",2.83%
12/12/2024,ARKQ,AEROVIRONMENT INC,AVAV,008073108,"169,105","$26,101,356.75",2.72%
12/12/2024,ARKQ,AMAZON.COM INC,AMZN,023135106,"112,789","$25,970,795.14",2.70%
12/12/2024,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,"885,561","$24,924,114.35",2.60%
12/12/2024,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,"5,480,933","$23,732,439.89",2.47%
12/12/2024,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"121,542","$23,652,073.20",2.46%
12/12/2024,ARKQ,ADVANCED MICRO DEVICES,AMD,007903107,"144,939","$18,863,810.85",1.96%
12/12/2024,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,"92,912","$18,276,719.52",1.90%
12/12/2024,ARKQ,JOBY AVIATION INC,JOBY,G65163100,"2,217,773","$17,609,117.62",1.83%
12/12/2024,ARKQ,AURORA INNOVATION INC,AUR,051774107,"2,349,405","$17,315,114.85",1.80%
12/12/2024,ARKQ,NVIDIA CORP,NVDA,67066G104,"122,616","$17,081,634.96",1.78%
12/12/2024,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,"52,484","$13,193,952.76",1.37%
12/12/2024,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,"162,550","$11,433,767.00",1.19%
12/12/2024,ARKQ,CAMECO CORP,CCJ,13321L108,"198,015","$11,447,247.15",1.19%
12/12/2024,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"22,339","$10,607,003.98",1.10%
12/12/2024,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,"18,957","$10,305,025.20",1.07%
12/12/2024,ARKQ,SYNOPSYS INC,SNPS,871607107,"19,816","$10,146,980.96",1.06%
12/12/2024,ARKQ,BWX TECHNOLOGIES INC,BWXT,05605H100,"82,033","$10,076,933.72",1.05%
12/12/2024,ARKQ,QUALCOMM INC,QCOM,747525103,"62,300","$9,957,409.00",1.04%
12/12/2024,ARKQ,OKLO INC,OKLO,02156V109,"454,294","$8,754,245.38",0.91%
12/12/2024,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,"16,212","$8,174,738.88",0.85%
12/12/2024,ARKQ,CATERPILLAR INC,CAT,149123101,"20,856","$8,110,272.72",0.84%
12/12/2024,ARKQ,3D SYSTEMS CORP,DDD,88554D205,"2,344,930","$7,902,414.10",0.82%
12/12/2024,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,"161,172","$7,260,798.60",0.76%
12/12/2024,ARKQ,ANSYS INC,ANSS,03662Q105,"18,342","$6,309,648.00",0.66%
12/12/2024,ARKQ,SYMBOTIC INC,SYM UQ,87151X101,"154,873","$4,132,011.64",0.43%
12/12/2024,ARKQ,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,992,416","$1,992,416.40",0.21%
12/12/2024,ARKQ,MARKFORGED HOLDING CORP,,57064N201,50,$212.50,0.00%
