d,n0,sh0,add,rem,nt,si,se,tt,ta,ta_cov,tt_usd,ta_usd,si_usd
2014-10-24,38,377468.0,0,0,0.0,0.00491,0.00491,0.00491,,,82570.0,,82570.0
2014-10-27,38,376881.0,0,0,0.0,0.00361,0.00361,0.00361,,,19718.0,,19718.0
2014-10-28,38,378241.0,1,0,0.02632,0.00193,0.00107,0.00193,,,69904.0,,69904.0
2014-10-29,39,378162.0,0,0,0.0,0.00391,0.00391,0.00391,,,65398.0,,65398.0
2014-10-30,39,379139.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-10-31,39,379139.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-03,39,379139.0,0,1,0.02564,0.03083,0.01303,0.03083,,,216630.0,,216630.0
2014-11-04,38,376391.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-05,38,376391.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-06,38,376391.0,0,0,0.0,0.14554,0.14554,0.14554,,,1128658.0,,1128658.0
2014-11-07,38,428782.0,0,0,0.0,0.00763,0.00763,0.00763,,,99127.0,,99127.0
2014-11-10,38,430363.0,0,0,0.0,0.00046,0.00046,0.00046,,,6920.0,,6920.0
2014-11-11,38,430163.0,1,0,0.02632,0.00332,0.00138,0.00332,,,82411.0,,82411.0
2014-11-12,39,430401.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-13,39,430401.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-14,39,430401.0,0,0,0.0,0.00122,0.00122,0.00122,,,26103.0,,26103.0
2014-11-17,39,430524.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-18,39,430524.0,0,0,0.0,0.00639,0.00639,0.00639,,,141621.0,,141621.0
2014-11-19,39,431238.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-20,39,431238.0,0,0,0.0,0.00521,0.00521,0.00521,,,106739.0,,106739.0
2014-11-21,39,431083.0,0,0,0.0,0.00375,0.00375,0.00375,,,91750.0,,91750.0
2014-11-24,39,430665.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-25,39,430665.0,0,0,0.0,0.00473,0.00473,0.00473,,,60439.0,,60439.0
2014-11-26,39,429629.0,0,0,0.0,0.00111,0.00111,0.00111,,,34424.0,,34424.0
2014-11-28,39,429552.0,0,0,0.0,0.00343,0.00343,0.00343,,,66596.0,,66596.0
2014-12-01,39,430555.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-02,39,430555.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-03,39,430555.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-04,39,430555.0,0,0,0.0,0.00295,0.00295,0.00295,,,51448.0,,51448.0
2014-12-05,39,430885.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-08,39,430885.0,0,0,0.0,0.02579,0.02579,0.02579,,,254233.0,,254233.0
2014-12-09,39,432452.0,0,0,0.0,0.00542,0.00542,0.00542,,,128734.0,,128734.0
2014-12-10,39,432810.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-11,39,432810.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-12,39,432810.0,1,2,0.07692,0.05723,0.04919,0.05723,,,638153.0,,638153.0
2014-12-15,38,446919.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-16,38,446919.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-17,38,446919.0,1,0,0.02632,0.00461,0.00369,0.00461,,,95134.0,,95134.0
2014-12-18,39,446390.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-19,39,446390.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-22,39,446390.0,0,1,0.02564,0.00396,0.00313,0.00396,,,112873.0,,112873.0
2014-12-23,38,446612.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-24,38,446612.0,0,0,0.0,0.00144,0.00144,0.00144,,,61503.0,,61503.0
2014-12-26,38,446857.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-29,38,446857.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-30,38,446857.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-31,38,446857.0,0,0,0.0,0.00339,0.00339,0.00339,,,107621.0,,107621.0
2015-01-02,38,447276.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2015-01-05,38,447276.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2015-01-06,38,447276.0,0,0,0.0,0.00665,0.00665,0.00665,,,147686.0,,147686.0
2015-01-07,38,446451.0,0,0,0.0,0.00351,0.00351,0.00351,,,106592.0,,106592.0
2015-01-08,38,446685.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
