date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/24/2025,ARKK,TESLA INC,TSLA,88160R101,"2,322,708","$577,680,706.68",10.42%
03/24/2025,ARKK,ROKU INC,ROKU,77543R102,"6,262,465","$490,288,384.85",8.84%
03/24/2025,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"6,526,847","$399,181,962.52",7.20%
03/24/2025,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"2,054,020","$389,976,237.20",7.03%
03/24/2025,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"3,834,258","$348,764,107.68",6.29%
03/24/2025,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"7,249,442","$298,821,999.24",5.39%
03/24/2025,ARKK,TEMPUS AI INC,TEM,88023B103,"5,311,938","$272,768,016.30",4.92%
03/24/2025,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,599,968","$270,942,665.28",4.89%
03/24/2025,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"5,733,066","$254,318,807.76",4.59%
03/24/2025,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"3,605,997","$154,661,211.33",2.79%
03/24/2025,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"17,270,810","$150,601,463.20",2.72%
03/24/2025,ARKK,BLOCK INC,XYZ,852234103,"2,322,719","$141,941,358.09",2.56%
03/24/2025,ARKK,PAGERDUTY INC,PD,69553P100,"7,159,082","$135,235,058.98",2.44%
03/24/2025,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"224,717","$133,987,511.25",2.42%
03/24/2025,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"19,469,261","$130,054,663.48",2.35%
03/24/2025,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"5,410,445","$126,063,368.50",2.27%
03/24/2025,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"3,023,456","$119,396,277.44",2.15%
03/24/2025,ARKK,AMAZON.COM INC,AMZN,023135106,"593,374","$116,425,912.54",2.10%
03/24/2025,ARKK,TERADYNE INC,TER,880770102,"1,178,231","$103,106,994.81",1.86%
03/24/2025,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"8,835,729","$91,803,224.31",1.66%
03/24/2025,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"830,692","$88,418,856.48",1.59%
03/24/2025,ARKK,VERACYTE INC,VCYT,92337F107,"2,526,740","$80,400,866.80",1.45%
03/24/2025,ARKK,GITLAB INC-CL A,GTLB,37637K108,"1,534,212","$78,168,101.40",1.41%
03/24/2025,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,"2,390,436","$77,497,935.12",1.40%
03/24/2025,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"8,530,732","$76,776,588.00",1.38%
03/24/2025,ARKK,NATERA INC,NTRA,632307104,"479,575","$72,487,761.25",1.31%
03/24/2025,ARKK,ILLUMINA INC,ILMN,452327109,"751,034","$65,835,640.44",1.19%
03/24/2025,ARKK,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"1,140,497","$64,221,386.07",1.16%
03/24/2025,ARKK,DEERE & CO,DE,244199105,"126,518","$59,770,898.74",1.08%
03/24/2025,ARKK,UIPATH INC - CLASS A,PATH,90364P105,"5,356,421","$57,902,911.01",1.04%
03/24/2025,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"1,977,779","$54,685,589.35",0.99%
03/24/2025,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"20,806,427","$27,048,355.10",0.49%
03/24/2025,ARKK,CERUS CORP,CERS,157085101,"11,743,583","$17,967,681.99",0.32%
03/24/2025,ARKK,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"13,770,886","$13,770,886.02",0.25%
03/24/2025,ARKK,PRIME MEDICINE INC,PRME,74168J101,"1,059,923","$2,066,849.85",0.04%
03/24/2025,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,"117,377","$1,510,641.99",0.03%
