date,fund,company,ticker,cusip,shares,market value ($),weight (%)
12/26/2024,ARKW,TESLA INC,TSLA,88160R101,"519,733","$240,262,171.24",12.71%
12/26/2024,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"2,209,075","$218,190,337.75",11.55%
12/26/2024,ARKW,ROKU INC,ROKU,77543R102,"1,786,992","$142,173,083.52",7.52%
12/26/2024,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"415,924","$116,300,668.88",6.15%
12/26/2024,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"1,846,294","$109,965,270.64",5.82%
12/26/2024,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"1,230,562","$101,373,697.56",5.36%
12/26/2024,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"2,502,403","$99,045,110.74",5.24%
12/26/2024,ARKW,BLOCK INC,SQ,852234103,"962,469","$87,661,676.52",4.64%
12/26/2024,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"129,277","$78,568,096.75",4.16%
12/26/2024,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"654,903","$72,157,212.54",3.82%
12/26/2024,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"347,414","$39,111,868.12",2.07%
12/26/2024,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"4,426,457","$38,598,705.04",2.04%
12/26/2024,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"101,508","$37,130,611.32",1.96%
12/26/2024,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"946,023","$36,488,107.11",1.93%
12/26/2024,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"255,466","$31,667,565.36",1.68%
12/26/2024,ARKW,RUBRIK INC-A,RBRK,781154109,"419,294","$28,482,641.42",1.51%
12/26/2024,ARKW,REDDIT INC-CL A,RDDT,75734B100,"157,806","$27,996,362.46",1.48%
12/26/2024,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"57,879","$26,719,261.56",1.41%
12/26/2024,ARKW,UIPATH INC - CLASS A,PATH,90364P105,"2,014,359","$26,448,533.67",1.40%
12/26/2024,ARKW,UNITY SOFTWARE INC,U,91332U101,"1,084,728","$24,731,798.40",1.31%
12/26/2024,ARKW,PAGERDUTY INC,PD,69553P100,"1,323,150","$24,385,654.50",1.29%
12/26/2024,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,"781,987","$23,381,411.30",1.24%
12/26/2024,ARKW,MERCADOLIBRE INC,MELI,58733R102,"13,436","$23,422,844.44",1.24%
12/26/2024,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"177,438","$22,408,645.02",1.19%
12/26/2024,ARKW,TOAST INC-CLASS A,TOST,888787108,"554,872","$21,295,987.36",1.13%
12/26/2024,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"1,526,752","$21,071,832.77",1.11%
12/26/2024,ARKW,NVIDIA CORP,NVDA,67066G104,"144,115","$20,207,805.30",1.07%
12/26/2024,ARKW,AMAZON.COM INC,AMZN,023135106,"86,568","$19,828,400.40",1.05%
12/26/2024,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"91,601","$18,900,034.33",1.00%
12/26/2024,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"123,582","$18,339,568.80",0.97%
12/26/2024,ARKW,GITLAB INC-CL A,GTLB,37637K108,"285,797","$17,276,428.65",0.91%
12/26/2024,ARKW,NEXTDOOR HOLDINGS INC,KIND,65345M108,"6,869,051","$16,554,412.91",0.88%
12/26/2024,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,"1,011,497","$15,101,650.21",0.80%
12/26/2024,ARKW,MICROSOFT CORP,MSFT,594918104,"29,966","$13,164,962.78",0.70%
12/26/2024,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,"192,471","$12,462,497.25",0.66%
12/26/2024,ARKW,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"852,417","$8,839,564.29",0.47%
12/26/2024,ARKW,QUALCOMM INC,QCOM,747525103,"42,731","$6,809,612.16",0.36%
12/26/2024,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"3,357,300","$3,357,299.60",0.18%
